SITE,Treatment,Time,B1,B0
1,No,Before,3,0
2,Yes,Before,0,0
3,No,Before,0,0
4,Yes,Before,17,8
5,Yes,Before,129,32
6,No,Before,0,0
7,No,Before,0,0
8,Yes,Before,0,0
9,No,Before,19,17
10,Yes,Before,19,9
11,Yes,Before,136,72
12,No,Before,0,0
13,Yes,Before,27,6
14,No,Before,103,44
15,Yes,Before,0,6
1,No,After,39,3
2,Yes,After,0,6
3,No,After,0,14
4,Yes,After,44,11
5,Yes,After,39,12
6,No,After,0,0
7,No,After,0,0
8,Yes,After,0,0
9,No,After,30,20
10,Yes,After,11,19
11,Yes,After,108,28
12,No,After,14,11
13,Yes,After,16,8
14,No,After,106,22
15,Yes,After,3,17
